baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000000003 89.2334755470183 0.182840614877155 0.14952832091848 1.22278250537459 0.221411854875295 0.635763845875353
ENSG00000000419 133.796679597893 -0.0358491101804339 0.144957976165216 -0.247306917003137 0.804670706030931 0.943683359354589
ENSG00000000457 310.93915665817 0.00701020276763926 0.0962772688314435 0.0728126467724412 0.94195520700259 0.986511237158749
ENSG00000000460 78.4248418817336 -0.0114193555079131 0.161694518156322 -0.0706230219683341 0.94369778727776 0.986511237158749
ENSG00000001036 123.656808708304 -0.0225074580455629 0.133859041849191 -0.168142978872659 0.866470798394795 0.964953876643522
ENSG00000001084 273.228599341127 -0.0741586536443141 0.105183672537622 -0.705039592697139 0.48078559725373 0.807354748118713
ENSG00000001167 722.914589130277 -0.0467807521591908 0.0603308522962024 -0.775403469016389 0.438101285918371 0.785369472980173
ENSG00000001460 97.104677815759 0.254460276643104 0.161246485176986 1.57808262526656 0.114546629211748 0.50985359470601
ENSG00000001461 451.747746742621 -0.00112989454384452 0.117358979329019 -0.00962767868555535 0.992318342492226 0.997930329580845
ENSG00000001497 741.362187797295 -0.100386257689961 0.0609906337059211 -1.64592908107816 0.0997783608363601 0.491623453096382
ENSG00000001561 237.065210998583 -0.107683144420893 0.108639792600764 -0.991194311430749 0.321590707752558 0.713938907511603
ENSG00000001617 437.103595155558 0.243056687790424 0.150853900768806 1.61120585249516 0.107134862639883 0.501341648138166
ENSG00000001629 1857.03017229104 -0.00787936656726348 0.0510824447239142 -0.154248031977506 0.877414171286543 0.967954095152885
ENSG00000001630 307.537735716515 -0.0847458673111762 0.0947237219068325 -0.894663613350515 0.370966935231586 0.743590946228871
ENSG00000001631 471.143520394618 -0.0178664199092272 0.108058896917698 -0.16533964734838 0.868676654161145 0.965813021239867
ENSG00000002016 231.056956736773 -0.133544235620939 0.136675207129925 -0.97709188392881 0.328523665420543 0.719033823425119
ENSG00000002330 472.400778492171 -0.193328964780853 0.180947813091697 -1.06842388132584 0.285329349306267 0.684603376747216
